公司,父记录,招聘岗位,学历要求,是否笔试,专业要求,备注,工作地点,招聘届次,更新时间,企业类型,公告来源,开始时间,行业类别,截止时间,批次（暑期实习）,父记录 2,公告链接,是否笔试 (1),简历投递链接
华安基金,,投资研究类市场营销类金融科技类;,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,上海,2027届,2026-04-10,民企,,2026-04-10,金融/证券,招满为止,实习,,https://mp.weixin.qq.com/s/YREqc_h7Q04s-UY-HOC4Ow,,https://huaan.m.zhiye.com/xzzw.html
江西省交通投资集团（第二批）,,未提及具体岗位 详情见招聘简章,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,南昌,2024届 | 2025届 | 2026届,2026-04-26,央国企,,2026-04-26,国企,2026/5/6,春招,,http://mp.weixin.qq.com/s?__biz=MzIyNzY2NTY2NQ==&mid=2247608437&idx=1&sn=0a7d65fd0e848d2dda8beea388f6706c&chksm=e85eda1bdf29530d80aee93f58b8c6100c6a07b91e618a33af76aeb10a06ce4b050135183392#rd,,http://www.jxgsgl.com/
崇明区区管企业,,内部审计岗，市政工程师，会计核算岗，合约管理岗，工程管理部技术员，安全管理岗，产业发展岗，党建岗，人力资源岗，企业服务岗，行政后勤管理岗，行政管理岗，综合管理岗，合约管理岗，运营管理岗，行政事业部管理......,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,上海,2026届,2026-05-14,事业单位,,2026-05-14,事业单位,2026/5/20,春招,,https://www.gzw.sh.gov.cn/shgzw_xxgk_cqzp/20260515/5315060ec9a44997b28a413cac9c4b28.html,,https://v.wjx.cn/vm/wF4JiKl.aspx
壹思唯国际教育,,指导师实习生教学助理实习生,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京,2027届,2026-05-23,民企,,2026-05-23,教育培训/在线教育,招满为止,实习,,https://mp.weixin.qq.com/s/84oUdRAhMNYgmOWRYa1sqg,,https://mp.weixin.qq.com/s/84oUdRAhMNYgmOWRYa1sqg
云南罗平锌电股份有限公司,,冶炼相关发电相关 化工相关人力资源环境相关采矿相关法务安全管理投融资相关,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,云南 | 曲靖 | 罗平县 | 贵州 | 安顺 | 普定县,2026届,2026-03-26,央国企,,2026-03-26,矿产/钢铁,2026/4/15,春招,,https://mp.weixin.qq.com/s/2GXPptScjs6UPkrsHXtrEQ?click_id=13&scene=1,,https://mp.weixin.qq.com/s/2GXPptScjs6UPkrsHXtrEQ?click_id=13&scene=1
中国民生银行南京分行,,实习生（科学、技术、工程、数学、金融数学、金融科技）,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,南京 | 无锡 | 徐州 | 常州 | 南通 | 连云港 | 淮安 | 盐城 | 扬州 | 镇江 | 泰州 | 宿迁,2027届,2026-03-29,银行,,2026-03-29,银行/金融,2026/5/5,实习,,https://mp.weixin.qq.com/s/kPL7-f264G8HdCpfY5jx_g?scene=1&click_id=11,,https://career.cmbc.com.cn/#/app/recruitmentview/77b826bd-b2a9-4947-9372-7bb53a713aba
哈电集团,,需求专业：机械工程类、电气工程类、能源动力类、金属材料类、控制工程类、仪器仪表类、力学类、化学类、环境工程类、计算机类、水利水电类、安全工程类、土木工程类、船舶与海洋工程类、应用物理类、核科学类、新闻......,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,天津 | 秦皇岛 | 哈尔滨 | 佳木斯 | 苏州 | 镇江 | 林芝,2026届,2026-04-02,央国企,,2026-04-02,国企,招满为止,春招,,https://mp.weixin.qq.com/s/zMjtLuyoqVxmssas896JJg,,https://hadian.zhaopin.com/jobs/index.html
中印科院,,智能技术与系统研究中心技术员、材料功能转换研究中心工程师,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京,2026届,2026-04-11,民企,,2026-04-11,传媒出版,2026/4/24,春招,,https://mp.weixin.qq.com/s/t-Q_srajoF0_fVAiBbLzAw?scene=1&click_id=50,,https://zp.crhc.cn/recportal/homePage
松下集团,,技术人才,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,长春 | 大连 | 上海 | 杭州 | 苏州 | 无锡 | 广州,2026届,2026-04-25,外企,,2026-04-25,家电,招满为止,春招,,https://mp.weixin.qq.com/s/1zLxRHz7ysQFBTB075m6fA?scene=1,,https://app.mokahr.com/campus-recruitment/panasonic/94543?locale=zh-CN#/
中国化学天辰公司,,"AI+科研,精细合成,模拟,聚合研发工程师,各专业设计工程师,产业数智化研发,人工智能,AI应用开发和软件开发工程师,合同,计划,费控,施工安全,施工管理工程师,国内,海外商务经理,收入成本管理,组织......","本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京 | 天津 | 哈尔滨 | 上海 | 淄博,2026届,2026-04-27,央国企,,2026-04-27,国企,招满为止,春招,,https://mp.weixin.qq.com/s/pJ-GKm2whkCzvAlgFKjNuw,,https://china-tcc.zhiye.com/campus/jobs
康明斯中国,,工程AI软件服务及销售制造;,"本科, 硕士, 博士",免笔试（部分岗位）,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京 | 武汉 | 香港,2026届,2026-04-27,外企,,2026-04-27,车企/汽车零部件,招满为止,春招,,https://mp.weixin.qq.com/s/W0kiXGRFaO24n_hbLX9XxQ,,https://www.cummins.com.cn/careers/campus.html
苏州市相城区教育系统,,高中语文教师、高中英语教师、高中物理教师、高中化学教师、高中体育教师、高中信息技术教师、高中心理教师、中学语文教师、中学数学教师、中学英语教师、中学政治教师、中学历史教师、中学地理教师、中学物理教师、......,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,苏州,2026届 | 2025届 | 2024届,2026-04-28,事业单位,,2026-04-28,事业单位,2026/5/11,春招,,https://hrss.suzhou.gov.cn/jsszhrss/gsgg/202604/1868a77ab42c49ff9febfb6ab2dbf5be.shtml,,http://www.xcjyxx.com/
德勤全球交付中心,,审计与鉴证税务与商务咨询咨询,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,重庆 | 广州 | 大连,2025届 | 2026届,2026-04-01,外企,,2026-04-01,商务服务/咨询,招满为止,春招,,https://mp.weixin.qq.com/s/w6kukBx1hpfvKc6VQp4cLw,,https://wecruit.hotjob.cn/SU6520c8568ac1ca0dbbbf9db4/mc/position/overseas
中国邮政储蓄银行安徽省分行,,客户服务经理(远程视频)u培生(金融销售);,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,合肥 | 毫州宿州阜阳滁州六安马鞍山芜湖,2026届,2026-04-10,银行,,2026-04-10,银行/国有行,2026/5/5,春招,,https://mp.weixin.qq.com/s/sPftHhQ5-FEKGCQAgpTRew,,https://psbcah2026.zhaopin.com/jobs/index.html
丰巢-海外业务管培生,,海外业务管培生,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,深圳,2026届,2026-04-20,民企,,2026-04-20,交通运输/物流仓储,2026/5/5,春招,,https://mp.weixin.qq.com/s/cFZmiMiac-P755fYcJl9Ew,,https://xy.liepin.com/hivebox/gangwei.html
信丰金信诺,,工艺/研发管培生品质管培生生产管培工程管培生 客服管培生设备管培生生计划管培生,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,江西 | 赣州,2026届,2026-04-21,民企,,2026-04-21,电子/半导体,招满为止,春招,,https://mp.weixin.qq.com/s/erGqophfNCjQWXluDUQKlQ,,https://mp.weixin.qq.com/s/erGqophfNCjQWXluDUQKlQ
交通银行浙江省分行,,营销运营方向(业务岗)、科技金融-客户经理方向岗、金融科技方向-信息技术岗,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,浙江,2026届,2026-05-05,银行,,2026-05-05,银行,招满为止,春招,,https://mp.weixin.qq.com/s/ryq5hRz_F0LWm0xo6m1yUw?scene=1&click_id=65,,https://mp.weixin.qq.com/s/ryq5hRz_F0LWm0xo6m1yUw?scene=1&click_id=65
中国铁路北京局集团,,财务会计信息技术法律事务经营管理医学检验等岗位,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京 | 全国 | 其他,2025届 | 2026届,2026-05-08,央国企,,2026-05-08,交通运输/物流仓储,2026/5/14,春招,,https://rczp.china-railway.com.cn/page/platform/company_info_del.html?parentId=320&jmetazpxxid=11177,,https://rczp.china-railway.com.cn/page/platform/company_info_del.html?parentId=320&jmetazpxxid=11177
铁总服务有限公司,,本次计划招聘13个岗位，具体岗位及要求详见“招聘岗位”。,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京,2025届 | 2026届,2026-05-11,央国企,,2026-05-11,多元化综合业务集团公司/投资集团,2026/5/31,春招,,https://rczp.china-railway.com.cn/page/platform/company_info_del.html?parentId=400&jmetazpxxid=11194,,https://rczp.china-railway.com.cn/page/platform/company_info_del.html?parentId=400&jmetazpxxid=11194
安克创新,,研发技术类数据开发类产品与体验类设计类市场营销类采购与供应链类品质类职能类制造类,"本科, 硕士, 博士",免笔试（部分岗位）,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,深圳 | 长沙 | 苏州 | 北京 | 上海 | 杭州,2027届,2026-05-13,民企,,2026-05-13,互联网/人工智能,招满为止,实习,,https://mp.weixin.qq.com/s/2VEORrAx8iXhx47QMi9xYw,,https://career.anker.com.cn/universities/recruitment/new/?channel=internship
先导智能,,"集团战略管培生，项目运营领域，供应链领域，研发质量领域，机械研发，视觉研发，流体仿真，电气研发，结构仿真，项目工程师 (育英计划), 项目工程师，TPM,PMO, 销售工程师，软件开发 (JAVA),......","本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,无锡 | 珠海 | 海外,2026届 | 2025届 | 2027届,2026-04-02,民企,,2026-04-02,其他 | 新能源,招满为止,春招 | 实习,,https://mp.weixin.qq.com/s/bHHGoiBKf0APOn_WfH6DWA,,https://leadchina.zhiye.com/campus/jobs
上海游族网络,,"前端开发工程师（AI方向）,后端开发工程师（AI方向）,AI大模型开发工程师（AI方向）,大数据开发工程师（AI方向）,数据产品经理（AI方向）,游戏客户端开发,游戏服务器开发（Java、C++）,游......","本科, 硕士, 博士",免笔试（部分岗位）,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,上海,2026届,2026-04-06,民企,,2026-04-06,游戏,招满为止,春招,,http://mp.weixin.qq.com/s?__biz=MzAwNDAyMTA4OA==&mid=2647681726&idx=1&sn=7962301c86b341ac928fb96fe72be94b&chksm=831684b1b4610da79156de8feba11550fee7e282d6cedb9c15c2db13e6c45e0d328d1932e6d1#rd,,https://campus.yoozoo.com/jobs
菇娘家,,大码主播模特 短视频编导&剪辑 运营助理 商务媒介 管培生,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,杭州,2027届,2026-05-24,民企,,2026-05-24,消费,招满为止,春招,,https://www.xiaohongshu.com/explore/6a117f6a0000000035021eca?note_flow_source=wechat&xsec_token=CBMpEZjCPJOgxvbfH3FiNsd-QW95rcJhBb5fYwkyUzgUM=,,https://hzgnj.zhiye.com/campus/jobs
SparkData数花智算,,AIAgent大数据工程师实习生、RoiAI大数据运营实习生;,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,上海,2027届,2026-06-03,民企,,2026-06-03,互联网/人工智能,招满为止,实习,,https://mp.weixin.qq.com/s/qpTQBTK30djwNVtUuGx9Ow,,https://mp.weixin.qq.com/s/qpTQBTK30djwNVtUuGx9Ow
新华保险,,经济类、管理类、信息技术类、人工智能类、法律类、理学类相关专业可申请,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京 | 上海 | 南京 | 杭州 | 西安 | 全国,2027届,2026-06-24,央国企,,2026-06-24,金融/证券,招满为止,实习,,https://mp.weixin.qq.com/s/GhlknJThD9mFBilrtdvebQ,,https://nci.zhiye.com/sxszp?class=3
兴华基金,,"交易员助理,信用研究助理,渠道管理助理,产品经理助理,基金运营助理,品牌经理助理,电商互金助理,综合人力助理（相关专业：金融、经济、统计学、财务、数学、管理、营销、会计、广告、汉语言文学、电子商务、人......","本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京 | 青岛,2026届,2026-03-23,银行,,2026-03-23,银行/金融,招满为止,春招,,https://mp.weixin.qq.com/s/qRj5kaD5-qfVDNatgpt92w,,https://mp.weixin.qq.com/s/qRj5kaD5-qfVDNatgpt92w
金佰利,,全国重点客户销售部 电子商务部 市场部 供应链采购部（专业不限）,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京 | 上海,2027届,2026-03-26,外企,,2026-03-26,消费 | 外企,2026/5/6,实习,,https://mp.weixin.qq.com/s/s_gzPWAterhWhvGJWOwsdA,,http://campus.51job.com/K-CSUMMER2026/
中信兴业投资集团,,管理培训生(会计方向、审计信息化方向、投资分析方向、综合文秘方向、组织人事方向);子公司岗位;,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,上海 | 宁波,2026届,2026-03-28,央国企,,2026-03-28,多元化综合业务集团公司/投资集团,招满为止,春招,,https://mp.weixin.qq.com/s/_qCpaJ4UvO0lXIgg4nZuSQ?scene=1,,https://campus.51job.com/iig/job.html
首创证券-凌云预备营,,2026年校招凌云预备营岗:财富业务、机构业务,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京 | 河北 | 上海 | 山东 | 江苏 | 四川 | 浙江 | 深圳 | 福建 | 黑龙江 | 天津 | 安徽 | 陕西 | 山西 | 河南 | 江西 | 湖......,2026届,2026-04-13,央国企,,2026-04-13,金融/证券,2026/5/15,春招,,https://mp.weixin.qq.com/s/kEN_hFWfxRiEcAqn8YVrXQ,,https://mp.weixin.qq.com/s/kEN_hFWfxRiEcAqn8YVrXQ
中科创达,,研发类算法类产品类项目管理类设计类职能类;,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京 | 上海 | 南京 | 成都 | 武汉 | 沈阳 | 深圳 | 天津 | 西安 | 大连 | 广州 | 杭州 | 长春 | 重庆 | 青岛 | 苏州,2025届 | 2026届,2026-04-13,民企,,2026-04-13,互联网/人工智能,招满为止,春招,,https://mp.weixin.qq.com/s/PCLjrnbNykiuGt5BphlBsQ,,https://thundersoft.jobs.feishu.cn/campus/?spread=ZZ415C4
浩鲸科技,,后端开发(python方向)、国际交付工程师、全球销售管培生(葡萄牙语)、数据挖掘工程师、数据库开发工程师、图像算法工程师、Java开发工程师(国内),"本科, 硕士, 博士",免笔试（部分岗位）,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,南京 | 广州 | 长沙 | 福州,2026届,2026-04-18,民企,,2026-04-18,互联网,招满为止,春招,,https://mp.weixin.qq.com/s/ub1bJ3F63fp69Z2WSFoLGw,,https://mp.weixin.qq.com/s/ub1bJ3F63fp69Z2WSFoLGw
龙蟠科技,,亚太锂源营销管培生（市场营销、国贸、新能源、材料、英语等专业优先，专业不限）,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,南京 | 海外,2026届,2026-04-26,民企,,2026-04-26,其他 | 消费,招满为止,春招,,https://mp.weixin.qq.com/s/h1hXHEJjMl_JLE6RIzdT0w,,https://lopal.zhiye.com/campus/detail?jobAdId=90cbcb6d-8582-4168-8b4d-5f6f361c5b99
云南信托-英才计划,,【英才计划】实习留用:上海区域业务部门、人力资源部人力岗、法律合规部合规岗、资本市场部投资经理助理、固定收益部交易岗;,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京 | 上海 | 昆明 | 深圳,2027届,2026-05-15,民企,,2026-05-15,金融/证券,招满为止,实习,,https://yntrust.zhiye.com/campus/jobs,,https://yntrust.zhiye.com/campus/jobs
保利和润,,策划管培生销售管培生经纪管培生,"本科, 硕士, 博士",免笔试（部分岗位）,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,全国,2026届,2026-03-23,央国企,,2026-03-23,建筑地产/市政工程,招满为止,春招,,https://mp.weixin.qq.com/s/sRkE7VLc3gvc26XVlkm9nA,,https://polyic2026.zhaopin.com/job/index.html
维信诺,,工艺技术方向研发设计方向智能制造方向厂务环安方向IE方向质量方向信息技术方向项目管理方向生产计划方向供应链方向人力&法务知识产权万问,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,河北 | 固安 | 安徽 | 合肥 | 江苏 | 昆山 | 广东 | 广州,2026届,2026-03-26,民企,,2026-03-26,电子/半导体,招满为止,春招,,https://mp.weixin.qq.com/s/b3DgLrdkwgKDadIQYlZDqg,,https://app.mokahr.com/campus_apply/newvisionox/24735#/
张家港农商银行,,金融业务类、管理培训生,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,苏州 | 常熟 | 昆山 | 吴江 | 江阴 | 宜兴 | 崇川如皋 | 通州 | 海门 | 丹阳 | 新浦 | 宿豫,2024届 | 2025届 | 2026届,2026-03-29,银行,,2026-03-29,银行/国有行,2026/4/20,春招,,https://mp.weixin.qq.com/s/_D9y9jDKXKg-JS46ttFXpg?scene=1&click_id=67,,https://xyzp.51job.com/zrcbank2026s/p3.html
中国邮政储蓄银行宁波分行,,U培生经营管理、金融科技、金融销售、客户服务经理,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,宁波,2026届,2026-04-11,银行,,2026-04-11,银行,2026/4/28,春招,,https://mp.weixin.qq.com/s/U1ez_VfSh9wTKx8ffcPMjg?scene=1&click_id=49,,https://campus.51job.com/zgyzcxyhnbfh2026/about.html
苏州交旅文化传媒科技有限公司,,设计师、新媒体运营（相关专业：视觉传达设计、环境设计、产品设计、数字媒体艺术、公共艺术、包装设计、人居设计、游戏艺术设计及相关专业；新闻学、传播学、广告学、网络与新媒体、播音与主持艺术、数字媒体艺术及......,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,苏州,2026届,2026-04-22,央国企,,2026-04-22,国企 | 传媒/直播,2026/5/7,春招,,https://www.szrc.cn/#/notice/detail?id=653&newsType=2,,https://szjtjt.hotjob.cn/
中邮保险,,科技创新类经营企划类产品精算类运营管理类财会审计类党建纪检类投资管理类风控合规类职能管理类,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京,2027届,2026-05-25,央国企,,2026-05-25,金融/证券,2026/6/30,实习,,https://zybxsxs2026.zhaopin.com/job/index.html,,https://zybxsxs2026.zhaopin.com/job/index.html
重庆军工产业集团,,UI设计师、UE开发工程师、,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,重庆,2026届 | 2025届 | 2024届,2026-05-29,央国企,,2026-05-29,国防军工,2026/6/22,春招,,https://mp.weixin.qq.com/s/1OaRW6BKbTOj4RwWGJRRTw,,https://mp.weixin.qq.com/s/1OaRW6BKbTOj4RwWGJRRTw
国科学院赣江创新研究院,,副研究员，助理研究员，特别研究助理，高级工程师，工程师，博士后，研究员，正高级工程师（相关专业：物理，材料，化学，化工，机械工程，自动化，光学，化学工程与技术，材料科学与工程，冶金工程技术，能源科学，......,"本科, 硕士, 博士",免笔试（部分岗位）,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,赣州,2026届,2026-06-01,央国企,,2026-06-01,国企,2026/12/31,春招,,http://mp.weixin.qq.com/s/ugjJaPVHFCJ594PN7XSNqA,,http://mp.weixin.qq.com/s/ugjJaPVHFCJ594PN7XSNqA
航空工业综合所,,涵盖航空航天类、航空装备类、机械工程及自动化类、计算机科学与技术类、材料科学与工程类、电气与电子信息类、控制科学与工程类、仪器科学与技术类、管理科学与工程类等专业方向,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京,2027届,2026-03-22,事业单位,,2026-03-22,学术科研/研究所,招满为止,实习,,https://mp.weixin.qq.com/s/WLhVqOIhXZbpGv-3XVIyXw,,https://mp.weixin.qq.com/s/WLhVqOIhXZbpGv-3XVIyXw
山西省气象局,,综合业务 气象信息技术保障 财务管理（计算机科学与技术、环境监测与控制、环境科学与工程、人工智能与机器学习、软件工程、计算机应用技术、网络安全、建模仿真理论与技术、控制科学与工程、图像传播工程、电子信......,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,阳泉 | 长治 | 忻州 | 临汾 | 吕梁,2024届 | 2025届 | 2026届,2026-03-29,事业单位,,2026-03-29,事业单位,2026/4/8,春招,,http://sx.cma.gov.cn/zfxxgk/zwgk/ggtz/202603/t20260326_7688838.html,,http://sx.sun-hrm.com/nindex/?ecode=sxqxzp
上海国资国企,,三副 船舶策划(配载)计划调度(中控调度)信息管理 技术管理员:,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,温州,2026届,2026-03-30,央国企,,2026-03-30,交通运输/物流仓储,招满为止,春招,,https://mp.weixin.qq.com/s/gfUyYt0NUjAQfRannbBzuA,,https://shgzwzp.fsg.com.cn/xl/#/qjcl/company
隆基绿能,,"产品运营,组件原型产品,技术研发,设备技术,工艺技术,动力设施技术,人力资源,采购,物流,财务,产品营销,销售业务,产品解决方案","本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,全国,2026届,2026-04-02,民企,,2026-04-02,新能源,招满为止,春招,,http://mp.weixin.qq.com/s/eeHm4mFRMHy9131mvsRqPw,,https://wecruit.hotjob.cn/SU649d30920dcad4644b43e39b/mc/position/campus
沈阳燃气集团,,计算机信息化岗 造价岗 风控合规岗 财务岗 燃气营商(热线)岗 文字综合岗 生产技术岗(燃气),"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,沈阳,2026届 | 2025届 | 2024届,2026-04-28,央国企,,2026-04-28,国企,招满为止,春招,,https://gzw.shenyang.gov.cn/rcdwjszl/202604/t20260429_5021154.html,,https://gzw.shenyang.gov.cn/rcdwjszl/202604/t20260429_5021154.html
中建咨询,,工程管理岗工程造价岗,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,成都 | 广州 | 苏州 | 佛山 | 雄安新区,2027届,2026-05-15,央国企,,2026-05-15,建筑地产/市政工程,招满为止,实习,,https://mp.weixin.qq.com/s/zmsS5eDp9_16Ft2uOYadfA,,https://recruit.cscec.com/recruit#/portal_job_list?job_class=campus&filter_dict=select_depart:null&company_id=1873&contract_unit=32049809
宁波数字孪生（东方理工）研究院,,多物理场仿真与应用实验室，人工智能与能源系统实验室，智能媒体与视觉计算实验室，多模态人工智能实验室，网络信息安全实验室，全固态动力电池智能制造实验室，智慧交通研发中心，智慧海洋气象实验室，综合管理部，......,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,宁波,2027届,2026-06-17,事业单位,,2026-06-17,事业单位,2026/7/3,实习,,https://mp.weixin.qq.com/s/4jabExI7kAlPKOQJtqwspQ,,https://v.wjx.cn/vm/rCh2U2O.aspx
中粮信托,,"信托投资,财富管理,信息技术,风控审计,运营财务,战略研究,行政人力（专业不限）","本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京,2027届 | 2028届,2026-06-24,央国企,,2026-06-23,银行/金融 | 国企,招满为止,实习,,https://mp.weixin.qq.com/s/ImeNgNmhP_4h721TJPJXTw,,https://mp.weixin.qq.com/s/ImeNgNmhP_4h721TJPJXTw
盐城移动,,通信服务、算力服务、智能服务,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,盐城,2024届 | 2025届 | 2026届,2026-03-28,央国企,,2026-03-28,网络通信,招满为止,春招,,https://mp.weixin.qq.com/s/Kn4IRZwoM68rZ77_xBDEjw?scene=1&click_id=62,,https://m.zhaopin.com/xiaoyuan/company/detail?refcode=4440&comid=KA0159302916D90000266000
中地顾问,,区域储备人才:土地资源管理类、城乡规划类、地理信息类、农田水利类、房地产类等专员;,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,广州 | 佛山 | 江门 | 清远 | 茂名 | 湛江 | 云浮 | 东莞,2026届,2026-03-31,民企,,2026-03-31,建筑地产/市政工程,招满为止,春招,,https://mp.weixin.qq.com/s/JsbjzvGBi5KWX-dJ-CxELQ,,https://mp.weixin.qq.com/s/JsbjzvGBi5KWX-dJ-CxELQ
福州市规划设计研究院集团,,规划设计岗、国土空间规划、信息化岗、给排水或环境工程设计师、城市更新所建筑设计师、城市更新所规划设计师、创新业务中心设计师、项目管理人员、投标管理岗,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,福州,2026届,2026-04-07,事业单位,,2026-04-07,事业单位,招满为止,春招,,https://gzw.fuzhou.gov.cn/zwgk/zpxx/202604/t20260402_5303947.htm,,https://gzw.fuzhou.gov.cn/zwgk/zpxx/202604/t20260402_5303947.htm
峰岹科技-海外留学生招聘,,传感器工程师应用工程师 硬件工程师测试工程师 电机工程师 AI工程师 电机控制算法工程师 市场营销类品质类洪应链类人力资源类法务类财务类;,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,深圳 | 上海 | 青岛 | 海外,2026届 | 2027届,2026-05-07,民企,,2026-05-07,电子/半导体,招满为止,秋招提前批,,https://mp.weixin.qq.com/s/U0UbhNTzhbekk9oNUDDqDA,,https://mp.weixin.qq.com/s/U0UbhNTzhbekk9oNUDDqDA
